City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
123,Krasnogvardeyskiy,RU,57.38,62.32,24.62,82,6,3.8,clear sky
124,Akyab,MM,20.15,92.90,79.14,91,100,2.04,moderate rain
125,Knysna,ZA,-34.04,23.05,60.31,94,100,3.98,overcast clouds
126,Santana Do Mundau,BR,-9.17,-36.22,66.97,91,50,4.74,scattered clouds
127,Bukoba,TZ,-1.33,31.81,67.98,83,0,6.91,clear sky
128,Samarai,PG,-10.62,150.67,82.04,76,5,8.93,clear sky
129,Grand-Bourg,GP,15.88,-61.31,78.75,83,100,5.61,overcast clouds
130,Soure,BR,-0.72,-48.52,80.67,77,36,13.22,scattered clouds
131,Atambua,ID,-9.11,124.89,75.43,83,87,1.01,overcast clouds
132,Usinsk,RU,65.99,57.53,26.56,74,10,8.75,clear sky
133,Port Moresby,PG,-9.44,147.18,76.42,94,75,11.5,broken clouds
134,Yar-Sale,RU,66.83,70.83,32.32,69,100,3.71,overcast clouds
135,Provideniya,RU,64.38,-173.30,41.36,65,0,11.01,clear sky
136,Hohhot,CN,40.81,111.65,50.29,71,0,4.47,clear sky
137,Mar Del Plata,AR,-38.00,-57.56,57.09,66,0,13.8,clear sky
138,Nybro,SE,56.74,15.91,48.04,94,99,3.89,overcast clouds
139,Ponta Do Sol,PT,32.67,-17.10,72.23,77,31,4.74,scattered clouds
140,Sanford,US,28.80,-81.27,71.6,94,100,25.32,overcast clouds
141,Mahina,PF,-17.51,-149.49,83.97,65,20,19.57,few clouds
142,Butaritari,KI,3.07,172.79,82.36,77,100,18.45,light rain
143,Antalaha,MG,-14.90,50.28,64.58,83,0,7.11,clear sky
144,Khatanga,RU,71.97,102.50,27.7,98,100,4.38,overcast clouds
145,Kamaishi,JP,39.27,141.88,66.85,72,45,3.47,scattered clouds
146,Kruisfontein,ZA,-34.00,24.73,62.89,89,100,9.98,overcast clouds
147,Hambantota,LK,6.12,81.12,77.34,100,20,6.91,few clouds
148,Sault Sainte Marie,CA,46.52,-84.33,61.09,53,40,8.05,scattered clouds
149,Pevek,RU,69.70,170.31,27.99,61,0,3.91,clear sky
150,Warrnambool,AU,-38.38,142.48,53.51,80,86,10.0,overcast clouds
151,Nyuksenitsa,RU,60.41,44.24,35.42,99,100,6.15,overcast clouds
152,Cambrils,ES,41.07,1.05,67.05,49,20,11.5,few clouds
153,Oranjemund,NA,-28.55,16.43,55.65,95,6,5.12,clear sky
154,Srednekolymsk,RU,67.45,153.68,26.51,65,67,11.48,broken clouds
155,Gravelbourg,CA,49.88,-106.55,88.07,13,100,13.6,overcast clouds
156,Mbuji-Mayi,CD,-6.15,23.60,67.86,94,73,3.29,moderate rain
157,Chaah,MY,2.25,103.05,74.5,96,100,1.41,overcast clouds
158,Flin Flon,CA,54.77,-101.86,64.24,63,75,10.36,broken clouds
159,Ouesso,CG,1.61,16.05,69.3,97,24,1.83,light rain
160,Alegre,BR,-20.76,-41.53,67.51,96,100,4.0,overcast clouds
161,Waddan,LY,29.16,16.14,84.92,42,32,12.75,scattered clouds
162,Maniitsoq,GL,65.42,-52.90,36.79,99,100,14.97,light rain
163,Qaanaaq,GL,77.48,-69.36,12.22,78,43,7.63,scattered clouds
